dataset_path,dataset_name,n_cells,n_genes,age_column,n_age_levels,age_min_years,age_max_years,age_span_years,donor_column,n_donors,celltype_column,n_cell_types,tissue_column,n_tissues,priority_score,priority_tier,notes,error
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/raw/tabula_sapiens_immune.h5ad,tabula_sapiens_immune.h5ad,592317,60606,development_stage,19,22.0,74.0,52.0,donor_id,24,cell_type,45,tissue,74,83.39,A,age-ready,
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/raw/tabula_sapiens_immune_subset_20000.h5ad,tabula_sapiens_immune_subset_20000.h5ad,20000,60606,development_stage,19,22.0,74.0,52.0,donor_id,24,cell_type,43,tissue,73,80.56,A,age-ready,
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/raw/krasnow_lung_smartsq2.h5ad,krasnow_lung_smartsq2.h5ad,9409,53514,development_stage,3,46.0,75.0,29.0,donor_id,3,cell_type,40,tissue,2,36.04,C,age-ready,
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/raw/tabula_sapiens_lung.h5ad,tabula_sapiens_lung.h5ad,65847,60606,development_stage,3,59.0,61.0,2.0,donor_id,4,cell_type,34,tissue,1,21.24,D,age-ready,
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/raw/tabula_sapiens_kidney.h5ad,tabula_sapiens_kidney.h5ad,11376,60606,development_stage,1,61.0,61.0,0.0,donor_id,1,cell_type,13,tissue,2,10.86,D,"no_age_variation,single_donor",
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/perturb/adamson/perturb_processed.h5ad,perturb_processed.h5ad,68603,5060,,0,,,,,0,cell_type,1,,0,8.25,D,"no_age_variation,single_donor,low_celltype_diversity",
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/perturb/adamson/perturb_processed_scgpt.h5ad,perturb_processed_scgpt.h5ad,68603,0,,0,,,,,0,cell_type,1,,0,8.25,D,"no_age_variation,single_donor,low_celltype_diversity",
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/perturb/adamson/perturb_processed_symbols.h5ad,perturb_processed_symbols.h5ad,68603,4888,,0,,,,,0,cell_type,1,,0,8.25,D,"no_age_variation,single_donor,low_celltype_diversity",
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/perturb/shifrut/ShifrutMarson2018.h5ad,ShifrutMarson2018.h5ad,52236,33694,,0,,,,,0,celltype,1,,0,8.05,D,"no_age_variation,single_donor,low_celltype_diversity",
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/perturb/shifrut/perturb_processed_symbols.h5ad,perturb_processed_symbols.h5ad,52236,33694,,0,,,,,0,celltype,1,,0,8.05,D,"no_age_variation,single_donor,low_celltype_diversity",
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/perturb/dixit_7_days/DixitRegev2016_K562_TFs_7_days.h5ad,DixitRegev2016_K562_TFs_7_days.h5ad,33013,23111,,0,,,,,0,celltype,1,,0,7.72,D,"no_age_variation,single_donor,low_celltype_diversity",
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/perturb/dixit_7_days/perturb_processed_symbols.h5ad,perturb_processed_symbols.h5ad,33013,23111,,0,,,,,0,celltype,1,,0,7.72,D,"no_age_variation,single_donor,low_celltype_diversity",
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/perturb/dixit/DixitRegev2016_K562_TFs_13_days.h5ad,DixitRegev2016_K562_TFs_13_days.h5ad,19268,21713,,0,,,,,0,celltype,1,,0,7.33,D,"no_age_variation,single_donor,low_celltype_diversity",
/Volumes/Crucial X6/MacBook/biomechinterp/biodyn-work/single_cell_mechinterp/data/perturb/dixit/perturb_processed_symbols.h5ad,perturb_processed_symbols.h5ad,19268,21713,,0,,,,,0,celltype,1,,0,7.33,D,"no_age_variation,single_donor,low_celltype_diversity",
